YearPredictionMSD.txt.zip!YearPredictionMSD.txt,",",0,463715,515345,90,1
numerical,1,62,,,,
numerical,-338,385,,,,
numerical,-302,323,,,,
numerical,-155,336,,,,
numerical,-182,263,,,,
numerical,-82,167,,,,
numerical,-189,173,,,,
numerical,-73,127,,,,
numerical,-127,147,,,,
numerical,-42,61,,,,
numerical,-70,89,,,,
numerical,-95,88,,,,
numerical,0,550,,,,
numerical,8,65736,,,,
numerical,21,36817,,,,
numerical,17,31850,,,,
numerical,12,19866,,,,
numerical,5,16832,,,,
numerical,19,11902,,,,
numerical,6,9570,,,,
numerical,6,9617,,,,
numerical,15,3722,,,,
numerical,6,6738,,,,
numerical,5,9814,,,,
numerical,-2822,2050,,,,
numerical,-13391,24480,,,,
numerical,-12018,14506,,,,
numerical,-4325,3411,,,,
numerical,-3358,3278,,,,
numerical,-3116,3554,,,,
numerical,-3806,2348,,,,
numerical,-1517,1955,,,,
numerical,-1680,2888,,,,
numerical,-1591,2331,,,,
numerical,-990,1814,,,,
numerical,-1712,2497,,,,
numerical,-8449,14149,,,,
numerical,-10096,8060,,,,
numerical,-9804,6066,,,,
numerical,-7883,8361,,,,
numerical,-4674,3538,,,,
numerical,-4176,3893,,,,
numerical,-4976,1203,,,,
numerical,-1073,1831,,,,
numerical,-1022,747,,,,
numerical,-1330,1199,,,,
numerical,-14862,9060,,,,
numerical,-3993,6968,,,,
numerical,-6643,6173,,,,
numerical,-2345,2068,,,,
numerical,-2271,1427,,,,
numerical,-1747,2461,,,,
numerical,-3189,2395,,,,
numerical,-2200,2901,,,,
numerical,-1695,570,,,,
numerical,-5155,6956,,,,
numerical,-5112,12701,,,,
numerical,-4731,13002,,,,
numerical,-3757,5420,,,,
numerical,-2500,5691,,,,
numerical,-1901,1812,,,,
numerical,-1397,974,,,,
numerical,-601,813,,,,
numerical,-10346,11049,,,,
numerical,-7376,2878,,,,
numerical,-3897,3448,,,,
numerical,-1200,2056,,,,
numerical,-2565,4780,,,,
numerical,-1905,5287,,,,
numerical,-975,746,,,,
numerical,-7058,3959,,,,
numerical,-6954,4742,,,,
numerical,-8401,2125,,,,
numerical,-1813,1640,,,,
numerical,-1388,1279,,,,
numerical,-719,742,,,,
numerical,-9832,10021,,,,
numerical,-2026,3424,,,,
numerical,-8391,5189,,,,
numerical,-4755,3736,,,,
numerical,-438,841,,,,
numerical,-4403,4470,,,,
numerical,-1811,3211,,,,
numerical,-3099,1735,,,,
numerical,-342,261,,,,
numerical,-3169,3663,,,,
numerical,-4320,2834,,,,
numerical,-237,464,,,,
numerical,-7459,7394,,,,
numerical,-382,678,,,,
numerical,1922,2011,,,,
